Name,Time,Artist,Album,Genre,Plays,Album Artist,Release Date,Track Number,Last Played,Skips,Last Skipped,Date Added,Composer
Miss Murder,3:16,AFI,Decemberunderground,Rock,,,,,,,,7/10/2013 16:13:00,
Zulu Nation Throwdown vs. Get Down,2:55,Afrika Bambaataa vs. Freedom Express,DJ Hero Soundtrack,Game,1,,,,25/08/2014 12:05 AM,,,7/10/2013 16:13:00,
Venus,4:05,Air,Talkie Walkie,Electronic,,Air,26/01/2004,1 of 10,,,,11/1/2012 13:37:00,
Cherry Blossom Girl,3:40,Air,Talkie Walkie,Electronic,,Air,26/01/2004,2 of 10,,,,11/1/2012 13:37:00,
Run,4:12,Air,Talkie Walkie,Electronic,,Air,26/01/2004,3 of 10,,,,11/1/2012 13:37:00,
Universal Traveler,4:22,Air,Talkie Walkie,Electronic,,Air,26/01/2004,4 of 10,,,,11/1/2012 13:37:00,
Mike Mills,4:27,Air,Talkie Walkie,Electronic,,Air,26/01/2004,5 of 10,,,,11/1/2012 13:37:00,
Surfing On a Rocket,3:43,Air,Talkie Walkie,Electronic,,Air,26/01/2004,6 of 10,,,,11/1/2012 13:37:00,
Another Day,3:21,Air,Talkie Walkie,Electronic,,Air,26/01/2004,7 of 10,,,,11/1/2012 13:37:00,
Alpha Beta Gaga,4:40,Air,Talkie Walkie,Electronic,,Air,26/01/2004,8 of 10,,,,11/1/2012 13:37:00,
Biological,6:05,Air,Talkie Walkie,Electronic,,Air,26/01/2004,9 of 10,,,,11/1/2012 13:37:00,
Alone in Kyoto,4:51,Air,Talkie Walkie,Electronic,,Air,26/01/2004,10 of 10,,,,11/1/2012 13:37:00,
Tequila Sunrise,2:56,Alan Jackson,Common Thread: The Songs Of The Eagles,Rock,,,,5 of 13,,,,7/10/2013 16:13:00,
Still Got This Thing,4:37,Alannah Myles,Alannah Myles,Pop,,,,1 of 10,,,,7/10/2013 15:44:00,Christopher Ward
Love Is,3:40,Alannah Myles,Alannah Myles,Pop,,,,2 of 10,,,,7/10/2013 15:44:00,Christopher Ward/david tyson
Black Velvet,4:49,Alannah Myles,Alannah Myles,Pop,,,,3 of 10,,,,7/10/2013 15:44:00,Christopher Ward/david tyson
Rock This Joint,4:02,Alannah Myles,Alannah Myles,Pop,,,,4 of 10,,,,7/10/2013 15:44:00,Christopher Ward
Lover Of Mine,4:43,Alannah Myles,Alannah Myles,Pop,,,,5 of 10,,,,7/10/2013 15:44:00,Christopher Ward/alannah myles/david tyson/kit johnson
Kick Start My Heart,3:42,Alannah Myles,Alannah Myles,Pop,,,,6 of 10,,,,7/10/2013 15:44:00,Christopher Ward/c. waters/m. stone/shirley elkhard
If You Want To,4:13,Alannah Myles,Alannah Myles,Pop,,,,7 of 10,,,,7/10/2013 15:44:00,Christopher Ward/david tyson
Just One Kiss,3:35,Alannah Myles,Alannah Myles,Pop,,,,8 of 10,,,,7/10/2013 15:44:00,Christopher Ward/david tyson
Who Loves You,3:37,Alannah Myles,Alannah Myles,Pop,,,,9 of 10,,,,7/10/2013 15:44:00,Christopher Ward/david tyson
Hurry Make Love,2:17,Alannah Myles,Alannah Myles,Pop,,,,10 of 10,,,,7/10/2013 15:44:00,nancy simmonds
No Transitory,3:16,Alexisonfire,Big Shiny Tunes 10,Rock,,,,14 of 18,,,,7/10/2013 16:13:00,
